sku,category,units_sold,sales_sum,profit_sum,profit_pct,cum_profit_pct,ABC_profit
TEC-CO-10004722,Technology,20,61599.824,25199.928,8.798949042981615,8.798949042981615,A
OFF-BI-10003527,Office Supplies,31,27453.384000000002,7753.039,2.7070948412729248,11.50604388425454,A
TEC-CO-10001449,Technology,38,18839.686,6983.8836,2.438532202096569,13.944576086351109,A
TEC-CO-10003763,Technology,19,11619.833999999999,4570.9347,1.5960133498832396,15.540589436234349,A
TEC-AC-10002049,Technology,60,13756.536,4425.343199999999,1.5451778002899528,17.0857672365243,A
TEC-MA-10001127,Technology,12,18374.895,4094.9766,1.429825134246499,18.5155923707708,A
TEC-MA-10003979,Technology,11,7699.89,3772.9461,1.3173831479128122,19.83297551868361,A
TEC-MA-10001047,Technology,11,14299.89,3717.9714000000004,1.2981878714837207,21.13116339016733,A
OFF-BI-10001120,Office Supplies,13,15875.916000000001,3345.2823,1.1680576425491507,22.29922103271648,A
TEC-MA-10000045,Technology,6,6965.700000000001,3343.536,1.1674478945882136,23.466668927304696,A
OFF-AP-10002945,Office Supplies,40,11304.44,3247.02,1.1337478234676766,24.60041675077237,A
TEC-CO-10002095,Technology,21,8899.822,3124.9375,1.091120808956373,25.691537559728744,A
TEC-AC-10003033,Technology,35,10822.36,3085.0325000000003,1.0771873540052248,26.76872491373397,A
TEC-CO-10001046,Technology,16,8959.872,2799.96,0.9776498314751852,27.746374745209156,A
OFF-BI-10003925,Office Supplies,27,8070.192,2518.0551,0.8792183260333115,28.625593071242466,A
OFF-BI-10004600,Office Supplies,28,7985.383,2318.337,0.8094836273920651,29.435076698634532,A
TEC-AC-10003870,Technology,17,5609.83,2243.932,0.7835039577857451,30.218580656420276,A
OFF-BI-10001359,Office Supplies,37,19823.479,2233.5051000000003,0.7798632425513103,30.998443898971587,A
TEC-AC-10001838,Technology,26,5119.744000000001,2155.8922000000002,0.7527634844814449,31.751207383453032,A
TEC-CO-10001766,Technology,15,5669.874,2092.4535,0.7306128700569513,32.48182025350998,A
TEC-CO-10004115,Technology,17,6399.872,2064.9587,0.7210126305583714,33.20283288406835,A
OFF-ST-10001490,Office Supplies,49,8138.232,2016.711,0.7041661914042173,33.90699907547257,A
TEC-MA-10002927,Technology,2,3991.98,1995.99,0.6969311301326286,34.603930205605195,A
TEC-AC-10003832,Technology,75,11203.756,1987.9252999999999,0.6941152139781486,35.298045419583346,A
TEC-CO-10002313,Technology,11,5999.9,1973.9670999999998,0.6892414901114873,35.98728690969483,A
OFF-ST-10003208,Office Supplies,45,7730.196,1932.549,0.6747797126271582,36.66206662232199,A
FUR-CH-10000454,Furniture,51,10637.528,1927.442,0.6729965236925506,37.33506314601454,A
TEC-PH-10001459,Technology,39,13943.668,1822.7566,0.6364439787747973,37.97150712478934,A
TEC-CO-10003236,Technology,7,3959.9339999999997,1691.9718,0.5907784200955606,38.5622855448849,A
TEC-MA-10003673,Technology,5,3404.5,1668.205,0.5824798701110235,39.14476541499592,A
