sku,category,units_sold,sales_total,unit_price,total_value,value_pct,cum_value_pct,ABC_class
TEC-CO-10004722,Technology,20,61599.824,3079.9912,61599.824,2.6815166694633508,2.6815166694633508,A
OFF-BI-10003527,Office Supplies,31,27453.384000000002,885.5930322580646,27453.384000000002,1.1950798240783684,3.876596493541719,A
TEC-MA-10002412,Technology,6,22638.48,3773.08,22638.48,0.9854810866231156,4.862077580164835,A
FUR-CH-10002024,Furniture,39,21870.576,560.784,21870.576,0.9520532739633331,5.814130854128168,A
OFF-BI-10001359,Office Supplies,37,19823.479,535.7697027027027,19823.479,0.8629406049156354,6.677071459043804,A
OFF-BI-10000545,Office Supplies,48,19024.5,396.34375,19024.5,0.8281600589996089,7.505231518043413,A
TEC-CO-10001449,Technology,38,18839.686,495.7812105263158,18839.686,0.8201148765693765,8.32534639461279,A
TEC-MA-10001127,Technology,12,18374.895,1531.24125,18374.895,0.7998819483987288,9.12522834301152,A
OFF-BI-10004995,Office Supplies,27,17965.068,665.3728888888888,17965.068,0.7820416712561163,9.907270014267636,A
OFF-SU-10000151,Office Supplies,11,17030.311999999998,1548.2101818181816,17030.311999999998,0.7413505842835156,10.648620598551153,A
TEC-MA-10000822,Technology,18,16829.901,934.9945000000001,16829.901,0.7326264451164329,11.381247043667585,A
OFF-SU-10002881,Office Supplies,22,16656.2,757.1,16656.2,0.7250650253467521,12.106312069014336,A
OFF-BI-10001120,Office Supplies,13,15875.916000000001,1221.2243076923078,15875.916000000001,0.6910982959464288,12.797410364960765,A
FUR-BO-10004834,Furniture,24,15610.9656,650.4569,15610.9656,0.6795646767240591,13.476975041684824,A
TEC-MA-10001047,Technology,11,14299.89,1299.99,14299.89,0.6224919312511716,14.099466972935996,A
TEC-PH-10001459,Technology,39,13943.668,357.5299487179487,13943.668,0.6069851461826044,14.7064521191186,A
TEC-AC-10002049,Technology,60,13756.536,229.2756,13756.536,0.5988390583400479,15.305291177458647,A
TEC-PH-10002885,Technology,24,12996.600000000002,541.5250000000001,12996.600000000002,0.5657581025937248,15.871049280052372,A
FUR-TA-10003473,Furniture,46,12995.2915,282.50633695652175,12995.2915,0.5657011419673114,16.43675042201968,A
FUR-CH-10001215,Furniture,32,12975.382,405.4806875,12975.382,0.5648344567616737,17.001584878781355,A
FUR-BO-10002213,Furniture,42,12921.643,307.65816666666666,12921.643,0.5624951315015838,17.56408001028294,A
TEC-CO-10003763,Technology,19,11619.833999999999,611.5702105263157,11619.833999999999,0.5058257726093016,18.069905782892242,A
FUR-CH-10004287,Furniture,53,11572.78,218.35433962264153,11572.78,0.503777453682856,18.573683236575096,A
OFF-AP-10002945,Office Supplies,40,11304.44,282.611,11304.44,0.4920962809723009,19.065779517547398,A
TEC-AC-10003832,Technology,75,11203.756,149.38341333333332,11203.756,0.48771338169083134,19.55349289923823,A
TEC-MA-10000418,Technology,9,11099.963,1233.3292222222221,11099.963,0.4831951437868787,20.03668804302511,A
