product_id,category,units_sold,sales_total,avg_unit_price,total_value,value_pct,cum_value_pct,ABC_class,profit_sum,profit_pct,cum_profit_pct,ABC_profit
TEC-CO-10004722,Technology,20,61599.824,3079.9912,61599.824,2.6746631611108262,2.6746631611108262,A,15399.956,2.6746631611108262,2.6746631611108262,A
OFF-BI-10003527,Office Supplies,31,27453.384000000002,965.9523999999999,29944.5244,1.300190667584769,3.9748538286955952,A,7486.1311,1.300190667584769,3.9748538286955952,A
OFF-BI-10001359,Office Supplies,37,19823.479,627.893,23232.041,1.0087347687895396,4.983588597485134,A,5808.01025,1.0087347687895396,4.983588597485134,A
TEC-MA-10002412,Technology,6,22638.48,3773.08,22638.48,0.9829623617032448,5.966550959188379,A,5659.62,0.9829623617032448,5.966550959188379,A
FUR-CH-10002024,Furniture,39,21870.576,560.784,21870.576,0.9496199849446743,6.916170944133054,A,5467.644,0.9496199849446743,6.916170944133054,A
OFF-BI-10004995,Office Supplies,27,17965.068,748.5445,20210.7015,0.8775482664083151,7.793719210541369,A,5052.675375,0.8775482664083151,7.793719210541369,A
TEC-MA-10000822,Technology,18,16829.901,1019.994,18359.892,0.7971861538820855,8.590905364423454,A,4589.973,0.7971861538820855,8.590905364423454,A
TEC-CO-10001449,Technology,38,18839.686,479.992,18239.696,0.7919672458976587,9.382872610321114,A,4559.924,0.7919672458976587,9.382872610321114,A
TEC-MA-10001127,Technology,12,18374.895,1458.325,17499.9,0.759845317952911,10.142717928274024,A,4374.975,0.759845317952911,10.142717928274024,A
OFF-BI-10000545,Office Supplies,48,19024.5,363.57933333333335,17451.808,0.7577571642474046,10.900475092521429,A,4362.952,0.7577571642474046,10.900475092521429,A
OFF-SU-10000151,Office Supplies,11,17030.311999999998,1528.3613333333333,16811.974666666665,0.7299756133469114,11.63045070586834,A,4202.993666666666,0.7299756133469114,11.63045070586834,A
OFF-SU-10002881,Office Supplies,22,16656.2,749.529,16489.638,0.7159797615436889,12.346430467412029,A,4122.4095,0.7159797615436889,12.346430467412029,A
OFF-BI-10001120,Office Supplies,13,15875.916000000001,1259.9933333333336,16379.913333333336,0.7112155186491234,13.057645986061152,A,4094.978333333334,0.7112155186491234,13.057645986061152,A
FUR-BO-10004834,Furniture,24,15610.9656,674.83068,16195.93632,0.703227240305116,13.760873226366268,A,4048.98408,0.703227240305116,13.760873226366268,A
TEC-AC-10002049,Technology,60,13756.536,250.1328,15007.968,0.6516456789345718,14.41251890530084,A,3751.992,0.6516456789345718,14.41251890530084,A
TEC-MA-10001047,Technology,11,14299.89,1299.99,14299.89,0.6209009459334996,15.033419851234338,A,3574.9725,0.6209009459334996,15.033419851234338,A
TEC-PH-10001459,Technology,39,13943.668,363.99133333333333,14195.662,0.6163753681987929,15.64979521943313,A,3548.9155,0.6163753681987929,15.64979521943313,A
FUR-TA-10003473,Furniture,46,12995.2915,283.6647083333333,13048.576583333332,0.566568941696571,16.2163641611297,A,3262.144145833333,0.566568941696571,16.2163641611297,A
FUR-CH-10001215,Furniture,32,12975.382,400.784,12825.088,0.5568650717509278,16.773229232880627,A,3206.272,0.5568650717509278,16.773229232880627,A
TEC-MA-10000418,Technology,9,11099.963,1399.9953333333333,12599.957999999999,0.5470899315255129,17.32031916440614,A,3149.9894999999997,0.5470899315255129,17.32031916440614,A
TEC-PH-10002885,Technology,24,12996.600000000002,519.864,12476.736,0.5417396346798856,17.862058799086025,A,3119.184,0.5417396346798856,17.862058799086025,A
FUR-BO-10002213,Furniture,42,12921.643,294.8232,12382.5744,0.5376511398375747,18.3997099389236,A,3095.6436,0.5376511398375747,18.3997099389236,A
